id	lang	scale	placement	tags	det_lang	det_prob	lang_ok	wer	errs	nwords	tag_leak	text	hyp
chapter_en_arc_01_s2	en	chapter	per_sentence	['happy', 'surprised', 'fearful', 'sighing']	en	0.99951171875	True	0.013157894736842105	2	152	False	[happy] The morning of the village fair began like a painting, all yellow light and the smell of fresh bread drifting between the stalls. Children chased ribbons down the lane while old men argued cheerfully over the price of plums. [surprised] Then a shout rolled in from the river road, sharp and out of place, and every head turned at once. [fearful] Word spread that the old bridge had buckled under the weight of a loaded cart, and somewhere beneath the splintered timbers a child was crying. [sighing] For a long moment nobody moved, the whole fair holding its breath as the water churned brown and angry. [happy] Then the blacksmith waded in to his waist, lifted the boy free, and raised him dripping above the crowd, and the cheer that broke loose shook the apple carts. By dusk the fiddles were out again, and the fair felt less like a celebration and more like a thanksgiving.	The morning of the village fair began like a painting, all yellow light and the smell of fresh bread drifting between the stalls. Children chased ribbons down the lane, while old men argued cheerfully over the price of plums. Then a shout rolled in from the river road, sharp and out of place, and every head turned at once. Word spread that the old bridge had buckled under the weight of a loaded cart, and somewhere beneath the splintered timbers a child was crying. For a long moment nobody moved, the whole fair holding its breath as the water churned brown and angry. Then the blacksmith waded into his waist, lifted the boy free, and raised him dripping above the crowd, and the cheer that broke loose shook the apple carts. By dusk the fiddles were out again, and the fair felt less like a celebration and more like a thanksgiving.
reply_en_special_laugh_20	en	reply	special	['laugh']	en	0.99755859375	True	0.0	0	39	False	So he stands up to give this very serious toast, taps the glass, clears his throat, and the entire bottom of the glass falls off onto the table [laugh] and he just carries on with the speech holding the stem.	So he stands up to give this very serious toast, taps the glass, clears his throat and the entire bottom of the glass falls off onto the table and he just carries on with the speech holding the stem.
small_en_trailing_sarcastic_01_s2	en	small	trailing	['sarcastic']	en	0.9990234375	True	0.1	1	10	False	Sure, traffic at five on a Friday, what a treat [sarcastic].	Sure, traffic at 5 on a Friday, what a treat.
reply_en_wrap_name_20	en	reply	wrap	['soft']	en	1.0	True	0.0	0	25	False	They read the list of names slowly, one after another, and when they reached [soft] Margaret, the man in the front row finally lowered his head.	They read the list of names slowly, one after another, and when they reached, Margaret, the man in the front row, finally lowered his head.
reply_en_combined_fastexcited_20	en	reply	combined	['fast', 'excited']	en	0.998046875	True	0.0	0	38	False	[fast] [excited] Right, so the taxi's outside, the passports are in the blue bag, I've already checked us in, and if we leave in the next four minutes we make the early train instead of the late one.	Right, so the taxi's outside, the passports are in the blue bag, I've already checked us in, and if we leave in the next four minutes, we make the early train instead of the late one.
small_en_leading_angry_01_s2	en	small	leading	['angry']	en	0.99365234375	True	0.0	0	7	False	[angry] You read my journal without even asking?	You read my journal without even asking.
reply_en_mid_sarcastic_01_s2	en	reply	mid	['sarcastic']	en	0.9990234375	True	0.0	0	21	False	I rebooted the router three times and checked every cable, and naturally [sarcastic] it started working the moment the technician called back.	I rebooted the router three times and checked every cable and naturally it started working the moment the technician called back.
chapter_en_arc_04_s2	en	chapter	multi	['whispering', 'fearful', 'shouting', 'laughing']	en	0.9990234375	True	0.0	0	157	False	The lighthouse had been dark for forty years, and the four of us crept up its spiral stairs on a dare we already regretted. [whispering] Keep your voices down, I told them, as if the building itself were sleeping and we might wake it. The steps groaned underfoot and the salt wind found every crack in the walls. [fearful] Halfway up, a door slammed somewhere above us with no wind to explain it, and Tom grabbed my sleeve so hard he nearly pulled us both down the stairs. We froze, hearts hammering, listening to footsteps that might have been our own echo or might not. [shouting] Run, somebody yelled, and suddenly we were all yelling, tumbling down the spiral in a tangle of elbows and flashlights. [laughing] We spilled out onto the rocks gasping, and once we realized the slamming door had only been an old shutter, we laughed until we cried, the fear washing out of us with the tide.	The lighthouse had been dark for forty years, and the four of us crept up its spiral stairs on a dare we already regretted. Keep your voices down, I told them, as if the building itself were sleeping and we might wake it. The steps groaned underfoot, and the salt wind found every crack in the walls. Halfway up, a door slammed somewhere above us with no wind to explain it, and Tom grabbed my sleeve so hard he nearly pulled us both down the stairs. We froze, hearts hammering, listening to footsteps that might have been our own echo or might not. Run, somebody yelled, and suddenly we were all yelling, tumbling down the spiral in a tangle of elbows and flashlights. We spilled out onto the rocks, gasping, and once we realized the slamming door had only been an old shutter, we laughed until we cried, the fear washing out of us with the tide.
chapter_en_arc_06	en	chapter	neutral	[]	en	0.998046875	True	0.0	0	165	False	The library reading room occupies the eastern wing of the old courthouse, beneath a ceiling of pressed tin that has been painted over so many times the patterns have gone soft at the edges. Long oak tables run the length of the room, each fitted with a brass lamp and a worn leather inlay where generations of elbows have rested. Morning light enters through tall windows on the south wall, crossing the floor in slow rectangles that mark the hours better than any clock. The reference shelves line the north side, arranged by subject and then by date, with the oldest atlases kept in a locked case near the librarian's desk. Visitors are asked to sign the register at the entrance, to keep their voices low, and to return each volume to the reshelving cart rather than the stacks. In winter the radiators tick and hiss along the baseboards, and the room holds a warmth that makes the afternoons here particularly difficult to leave.	The library reading room occupies the eastern wing of the old courthouse, beneath a ceiling of pressed tin that has been painted over so many times the patterns have gone soft at the edges. Long oak tables run the length of the room, each fitted with a brass lamp and a worn leather inlay where generations of elbows have rested. Morning light enters through tall windows on the south wall, crossing the floor in slow rectangles that mark the hours better than any clock. The reference shelves line the north side, arranged by subject and then by date. With the oldest atlases kept in a locked case near the librarian's desk, visitors are asked to sign the register at the entrance to keep their voices low and to return each volume to the reshelving cart rather than the stacks. In winter the radiators tick and hiss along the baseboards and the room holds a warmth that makes the afternoons here. Particularly difficult to leave.
chapter_en_arc_03_s2	en	chapter	per_sentence	['sad', 'sighing', 'fearful', 'surprised', 'happy']	en	0.9990234375	True	0.18125	29	160	False	[sad] When the factory closed, the whole town seemed to exhale and forget to breathe back in. The diner emptied, the church bell rang to fewer ears, and for-sale signs sprouted on lawns like a slow grey frost. [sighing] My father, who had given thirty years to that line, took to fixing radios in the garage just to keep his hands from going still. [fearful] Some nights I heard him doing the numbers at the kitchen table, the pencil pressing harder and harder, and I learned to walk softly past that doorway. [surprised] Then one spring a stranger bought the empty shell of the plant, not to tear it down but to fill it with workbenches, glassblowers, and the bright noise of people making things again. [happy] My father was the first man through the new doors, and when he came home that evening he was grinning like a boy, sawdust in his hair, talking faster than I had heard him talk in years.	When the factory closed, the whole town seemed to exhale and forget to breathe back in. The diner emptied, the church bell rang to fewer ears, and for sale signs sprouted on lawns like a slow gray frost. My father, who had given thirty years to that line, took to fixing radios in the garage just to keep his hands from going still. Some nights I heard him doing the numbers at the kitchen table, the pencil pressing harder and harder, and I learned to walk softly past that doorway. Then one spring a stranger bought the empty shell of the plant, not to tear it down, but to fill it with workbenches, glass blowers, and the bright noise of people making things again. My father was the first man through the new doors, and when he came home that evening he was grinning like a boy, sawdust in his hair. My father was the first man through the new doors, and when he came home that evening he was grinning like a boy, sawdust in his hair.
reply_en_special_gasp_20	en	reply	special	['gasp']	en	0.9990234375	True	0.0	0	32	False	She turned the last corner of the trail expecting more forest, and the whole valley opened up beneath her [gasp] with the lake catching the light all the way to the far ridge.	She turned the last corner of the trail expecting more forest and the whole valley opened up beneath her, with the lake catching the light all the way to the far ridge.
reply_en_trailing_sighing_01_s2	en	reply	trailing	['sighing']	en	0.99853515625	True	0.15384615384615385	2	13	False	I checked the flights again and prices went up another forty dollars overnight [sighing].	I checked the flights again and prices went up another $40 overnight.
reply_en_wrap_number_20	en	reply	wrap	['surprised']	en	0.99951171875	True	0.0	0	34	False	I asked the mechanic for a rough estimate, bracing myself, and he looked at the engine for a moment and said [surprised] forty, which is not a number I was prepared for in either direction.	I asked the mechanic for a rough estimate, bracing myself, and he looked at the engine for a moment and said forty, which is not a number I was prepared for in either direction.
reply_en_combined_whisperfear_20	en	reply	combined	['whispers', 'fearful']	en	0.99365234375	True	0.0	0	27	False	[whispers] [fearful] There's someone on the landing. I can hear the floorboard by the airing cupboard, the one that always goes. Don't turn the light on yet.	There's someone on the landing I can hear the floorboard by the airing cupboard the one that always goes don't turn the light on yet
reply_en_leading_happy_01_s2	en	reply	leading	['happy']	en	0.998046875	True	0.0	0	23	False	[happy] Of course I can help with that! Let's start by listing what you already have, and I'll fill in the rest.	Of course I can help with that. Let's start by listing what you already have and I'll fill in the rest.
reply_en_mid_surprised_20	en	reply	mid	['surprised']	en	0.99951171875	True	0.0	0	32	False	I opened the letter expecting another rejection, and [surprised] it was an acceptance with a full scholarship attached. I had to sit down on the stairs and read it twice before it registered.	I opened the letter expecting another rejection, and it was an acceptance with a full scholarship attached. I had to sit down on the stairs and read it twice before it registered.
reply_en_multi_joy_grief_20	en	reply	multi	['excited', 'sad', 'soft']	en	0.99951171875	True	0.0	0	44	False	[excited] The results came back clear, completely clear, and I actually shouted in the corridor. [sad] Then I remembered that Anna got her results the same week last year and hers weren't. [soft] So I sat in the car for a while before I drove home.	The results came back clear, completely clear, and I actually shouted in the corridor. Then I remembered that Anna got her results the same week last year and hers weren't. So I sat in the car for a while before I drove home.
reply_en_neutral_20	en	reply	neutral	[]	en	0.998046875	True	0.02702702702702703	1	37	False	The library moved its reference section to the second floor over the summer. The reading room stays open until eight on weekdays now, and the microfilm machines have been replaced with two scanning stations near the window.	The library moved its reference section to the second floor over the summer. The reading room stays open until 8 on weekdays now, and the microfilm machines have been replaced with two scanning stations near the window.
reply_en_per_sentence_arc_20	en	reply	per_sentence	['soft', 'surprised', 'excited']	en	0.99951171875	True	0.0	0	45	False	[soft] The envelope had been sitting behind the clock since March. [surprised] Inside was a photograph I'd never seen, of my mother at about nineteen, laughing at something off-camera. [excited] And on the back, in pencil, the name of the street where she met my father.	The envelope had been sitting behind the clock since March. Inside was a photograph I'd never seen, of my mother at about nineteen, laughing at something off camera, and on the back, in pencil, the name of the street where she met my father.
reply_en_special_sigh_20	en	reply	special	['sigh']	en	0.998046875	True	0.08	2	25	False	I rewrote the whole chapter, restructured it, cut four thousand words [sigh] and my editor's only note was that the original opening had been better.	I rewrote the whole chapter, restructured it, cut 4,000 words, and my editor's only note was that the original opening had been better.
reply_en_trailing_sigh_20	en	reply	trailing	['sigh']	en	0.9990234375	True	0.0	0	29	False	The train was cancelled, the replacement bus never came, and by the time I reached the office the meeting had already ended. So that was the entire morning, gone. [sigh]	The train was cancelled, the replacement bus never came, and by the time I reached the office the meeting had already ended. So that was the entire morning, gone.
reply_en_wrap_place_20	en	reply	wrap	['excited']	en	0.99951171875	True	0.0	0	36	False	He kept saying the destination was a surprise right up until the departure board flipped over and showed [excited] Lisbon, and I made a noise in the middle of the terminal that I'm not proud of.	He kept saying the destination was a surprise right up until the departure board flipped over and showed Lisbon and I made a noise in the middle of the terminal that I'm not proud of.
reply_en_combined_pitchhappy_20	en	reply	combined	['pitch up', 'super happy']	en	0.998046875	True	0.0	0	25	False	[pitch up] [super happy] They said yes! Not a maybe, not a we'll think about it, an actual unconditional yes, and they want us to start in September!	They said yes, not a maybe, not a we'll think about it, an actual unconditional yes, and they want us to start in September.
reply_en_leading_excited_20	en	reply	leading	['excited']	en	0.998046875	True	0.0	0	36	False	[excited] Okay, so I checked the tracking number three times this morning and it finally moved. It's out for delivery. After six weeks of waiting, the thing is actually going to be on my doorstep tonight.	Okay, so I checked the tracking number three times this morning and it finally moved. It's out for delivery. After six weeks of waiting, the thing is actually going to be on my doorstep tonight.
reply_en_mid_excited_20	en	reply	mid	['excited']	en	0.99755859375	True	0.0625	2	32	False	We were halfway through the second set when the sound cut out completely, and then [excited] the entire crowd just picked up the chorus and carried it themselves. Two thousand people, no microphones.	We were halfway through the second set when the sound cut out completely and then the entire crowd just picked up the chorus and carried it themselves. 2,000 people, no microphones.
reply_en_multi_anger_calm_20	en	reply	multi	['angry', 'sigh', 'soft']	en	0.998046875	True	0.029411764705882353	1	34	False	[angry] I told them the deadline was immovable, I put it in writing, I said it in the meeting. [sigh] And of course it moved anyway. [soft] Honestly, at this point I've stopped expecting anything else.	I told him the deadline was immovable. I put it in writing. I said it in the meeting. And of course it moved anyway. Honestly, at this point, I've stopped expecting anything else.
reply_en_neutral_21	en	reply	neutral	[]	en	0.99951171875	True	0.0	0	37	False	Add the flour a third at a time and fold it in rather than stirring. The batter should still look slightly uneven when you stop. Overworking it at this stage is what makes the finished cake dense.	Add the flour a third at a time and fold it in rather than stirring. The batter should still look slightly uneven when you stop. Overworking it at this stage is what makes the finished cake dense.
reply_en_per_sentence_worry_20	en	reply	per_sentence	['fearful', 'trembling voice', 'soft']	en	0.99755859375	True	0.0	0	38	False	[fearful] The call came at twenty past two in the morning. [trembling voice] I couldn't get the words out properly, I just kept asking which hospital. [soft] By the time I arrived he was already awake and complaining about the tea.	The call came at twenty past two in the morning. I couldn't get the words out properly, I just kept asking which hospital. By the time I arrived, he was already awake and complaining about the tea.
reply_en_special_chuckle_20	en	reply	special	['chuckle']	en	1.0	True	0.0	0	35	False	My father spent the entire holiday insisting he didn't need a map, we were absolutely going the right way [chuckle] and we ended up in a completely different country than the one we'd booked.	My father spent the entire holiday insisting he didn't need a map. We were absolutely going the right way, and we ended up in a completely different country than the one we'd booked.
reply_en_trailing_laugh_20	en	reply	trailing	['laugh']	en	0.99951171875	True	0.027777777777777776	1	36	False	I spent forty minutes searching the house for my glasses, checked every room twice, went through the laundry basket, and then caught my reflection in the hallway mirror. They were on my head the whole time. [laugh]	I spent 40 minutes searching the house for my glasses, checked every room twice, went through the laundry basket, and then caught my reflection in the hallway mirror. They were on my head the whole time.
reply_en_combined_softwhisper_30	en	reply	combined	['soft', 'whisper in a small voice']	en	0.99951171875	True	0.0	0	30	False	[soft] [whisper in a small voice] He asked if the dog would still be there when he woke up, and I had to decide in about half a second what kind of answer that question deserved.	He asked if the dog would still be there when he woke up, and I had to decide in about half a second what kind of answer that question deserved.
reply_en_leading_sad_20	en	reply	leading	['sad']	en	0.99853515625	True	0.0	0	38	False	[sad] I went back to the old apartment to pick up the last box. Someone had already repainted the kitchen. It's silly, but standing in that doorway I realized I'd never really said goodbye to the place.	I went back to the old apartment to pick up the last box. Someone had already repainted the kitchen. It's silly, but standing in that doorway I realized I'd never really said goodbye to the place.
reply_en_mid_sad_20	en	reply	mid	['sad']	en	0.9990234375	True	0.0	0	38	False	He kept the shop open right through the winter, and [sad] on the last day he polished every surface before he turned the sign around. Forty-one years, and he wanted it to look right for whoever came next.	He kept the shop open right through the winter, and on the last day he polished every surface before he turned the sign around. Forty-one years, and he wanted it to look right for whoever came next.
reply_en_multi_fear_relief_20	en	reply	multi	['fearful', 'surprised', 'happy']	en	0.99951171875	True	0.0	0	40	False	[fearful] I couldn't find him anywhere in the park, not by the swings, not by the pond. [surprised] Then a woman tapped my shoulder and pointed at the bandstand. [happy] He was up there conducting an imaginary orchestra, perfectly happy, completely unaware.	I couldn't find him anywhere in the park, not by the swings, not by the pond. Then a woman tapped my shoulder and pointed at the bandstand. He was up there conducting an imaginary orchestra, perfectly happy, completely unaware.
reply_en_neutral_22	en	reply	neutral	[]	en	0.99853515625	True	0.023809523809523808	1	42	False	The northbound platform is closed for resurfacing until the end of the month. Services are departing from platform four instead, and the lift to the footbridge is out of service, so step-free access is via the side entrance on Mill Street.	The northbound platform is closed for resurfacing until the end of the month. Services are departing from Platform 4 instead, and the lift to the footbridge is out of service, so step-free access is via the side entrance on Mill Street.
reply_en_per_sentence_humour_20	en	reply	per_sentence	['chuckle', 'sigh', 'laugh']	en	1.0	True	0.0	0	41	False	[chuckle] I decided this year I'd assemble the furniture myself, how hard could it be. [sigh] Four hours later I had a wardrobe with the doors on the inside. [laugh] And two screws left over that I have chosen not to think about.	I decided this year I'd assemble the furniture myself. How hard could it be? Four hours later, I had a wardrobe with the doors on the inside and two screws left over that I have chosen not to think about.
reply_en_special_sniff_30	en	reply	special	['breathing heavily']	en	0.99755859375	True	0.02702702702702703	1	37	False	I ran the last kilometre far too fast because I could see the clock over the finish, and I crossed it with nine seconds to spare [breathing heavily] and then couldn't speak to anybody for about a minute.	I ran the last kilometer far too fast because I could see the clock over the finish, and I crossed it with nine seconds to spare, and then couldn't speak to anybody for about a minute.
reply_en_trailing_happy_20	en	reply	trailing	['happy']	en	1.0	True	0.02564102564102564	1	39	False	She learned the whole piece by ear over one weekend, then played it at dinner without telling anyone she'd been practising. Her grandfather didn't say a word, he just sat there with his hand over his mouth. [happy]	she learned the whole piece by ear over one weekend then played it at dinner without telling anyone she'd been practicing her grandfather didn't say a word he just sat there with his hand over his mouth
reply_en_leading_angry_20	en	reply	leading	['angry']	en	0.99951171875	True	0.0	0	39	False	[angry] They cancelled the whole project in a two-line email. Eight months of work, four people, and not one of them thought a conversation was warranted. I'm not upset about the decision, I'm upset about the cowardice.	They cancelled the whole project in a two-line email. Eight months of work, four people, and not one of them thought a conversation was warranted. I'm not upset about the decision. I'm upset about the cowardice.
reply_en_mid_angry_20	en	reply	mid	['angry']	en	0.99951171875	True	0.0	0	37	False	I asked for the report on Monday, I asked again on Wednesday, and [angry] this morning I find out it was finished the whole time and sitting in someone's drafts folder. That is not a scheduling problem.	I asked for the report on Monday, I asked again on Wednesday, and this morning I find out it was finished the whole time and sitting in someone's drafts folder. That is not a scheduling problem.
