id	scale	lang	placement	tags	text	wav	n_samples	sample_rate	seconds
chapter_en_arc_05	chapter	en	multi	excited,surprised,sad,soft	[excited] We had planned the proposal for months, down to the exact bend in the coastal path where the sunset would frame the cliffs. I'd hidden the ring, bribed the waiter, and rehearsed my speech until the words felt smooth as river stones. [surprised] But when we reached the spot, she was already crying, and for one dizzy heartbeat I thought I had somehow given it all away. [sad] Through her tears she told me her grandmother, the woman who raised her, had passed that very morning, and that she had nearly cancelled our walk. [soft] So I put the ring back in my pocket and simply held her against the wind, and I told her the question would keep, and that there was no view in the world more important than her being heard right then.	en/chapter_en_arc_05.wav	1859584	44100	42.167
small_en_neutral_neutral_02	small	en	neutral		Mix two cups of flour with a pinch of salt.	en/small_en_neutral_neutral_02.wav	102400	44100	2.322
chapter_en_arc_02	chapter	en	per_sentence	soft,sad,trembling voice,sigh,excited	[soft] The hospital corridor was quiet at three in the morning, the kind of quiet that has weight to it. I sat with my coffee going cold and watched the second hand crawl around the clock above the nurses' station. [sad] My mother had been in that room for nine days, and each day she said a little less, until words became a luxury neither of us could afford. [trembling voice] When the doctor came out, I could not read her face, and the gap between her first step and her first word felt like falling. [sigh] She told me the fever had broken, that the worst had passed, that my mother had asked for toast and complained about the pillows. [excited] I laughed so loudly that a nurse shushed me, and I did not care one bit, because for the first time in over a week the future had a door in it again.	en/chapter_en_arc_02.wav	1761280	44100	39.938
small_en_special_chuckle_01	small	en	special	chuckle	You really named the goldfish Sir Reginald [chuckle] the Third?	en/small_en_special_chuckle_01.wav	178176	44100	4.040
small_en_trailing_laugh_01	small	en	trailing	laugh	And then the dog stole the entire roast [laugh].	en/small_en_trailing_laugh_01.wav	141312	44100	3.204
small_en_wrap_whispering_01_s2	small	en	wrap	whispering	Please be [whispering] very quiet now.	en/small_en_wrap_whispering_01_s2.wav	71680	44100	1.625
small_en_combined_hurrytone_01_s2	small	en	combined	in a hurry tone,excited	[in a hurry tone] [excited] Come on, the parade is starting!	en/small_en_combined_hurrytone_01_s2.wav	71680	44100	1.625
small_en_leading_whispers_01	small	en	leading	whispers	[whispers] The baby just fell asleep, so tread lightly.	en/small_en_leading_whispers_01.wav	122880	44100	2.786
reply_en_mid_whispers_01	reply	en	mid	whispers	Everyone else is still in the meeting, so [whispers] I'll send you the summary quietly before they notice.	en/reply_en_mid_whispers_01.wav	256000	44100	5.805
small_en_multi_happy_01_s2	small	en	multi	happy,surprised,laughing	[happy] You came! [surprised] Wait, is that a cake? [laughing] You remembered!	en/small_en_multi_happy_01_s2.wav	249856	44100	5.666
small_en_neutral_neutral_03	small	en	neutral		The train to the coast leaves from platform nine.	en/small_en_neutral_neutral_03.wav	131072	44100	2.972
reply_en_per_sentence_excited_01_s2	reply	en	per_sentence	excited,happy,laughing	[excited] Your code finally compiled! [happy] Every test is passing now. [laughing] I knew that missing semicolon was the culprit.	en/reply_en_per_sentence_excited_01_s2.wav	364544	44100	8.266
reply_en_special_laugh_01	reply	en	special	laugh	So I followed your recipe exactly, and the soufflé rose beautifully [laugh] right before it collapsed into the oven.	en/reply_en_special_laugh_01.wav	274432	44100	6.223
small_en_trailing_whispers_01	small	en	trailing	whispers	Don't tell anyone, but I ate the last cookie [whispers].	en/small_en_trailing_whispers_01.wav	131072	44100	2.972
small_en_wrap_shouting_01_s2	small	en	wrap	shouting	I told you to [shouting] stop the car!	en/small_en_wrap_shouting_01_s2.wav	96256	44100	2.183
reply_en_combined_hurrytone_01_s2	reply	en	combined	in a hurry tone,excited	[in a hurry tone] [excited] Grab your coat, the northern lights are out and they won't last long!	en/reply_en_combined_hurrytone_01_s2.wav	200704	44100	4.551
reply_en_leading_soft_01	reply	en	leading	soft	[soft] That sounds like a really rough week. Take your time, and tell me whatever feels most pressing first.	en/reply_en_leading_soft_01.wav	274432	44100	6.223
small_en_mid_fearful_01_s2	small	en	mid	fearful	I was halfway down the trail when [fearful] something growled.	en/small_en_mid_fearful_01_s2.wav	135168	44100	3.065
small_en_multi_excited_01_s2	small	en	multi	excited,fearful,whispering	[excited] We made it to the cave! [fearful] Did you hear that? [whispering] Stay close.	en/small_en_multi_excited_01_s2.wav	167936	44100	3.808
reply_en_neutral_neutral_01	reply	en	neutral		I've scheduled the meeting for ten on Thursday and sent invites to the whole team.	en/reply_en_neutral_neutral_01.wav	208896	44100	4.737
reply_en_per_sentence_surprised_01_s2	reply	en	per_sentence	surprised,happy,excited	[surprised] Wait, you ran a marathon? [happy] That is genuinely incredible. [excited] Tell me everything about the finish line!	en/reply_en_per_sentence_surprised_01_s2.wav	278528	44100	6.316
small_en_special_sighing_01_s2	small	en	special	sighing	I packed everything, double-checked the list [sighing], and still forgot my charger.	en/small_en_special_sighing_01_s2.wav	202752	44100	4.598
reply_en_trailing_chuckle_01	reply	en	trailing	chuckle	I tried your shortcut and somehow ended up with thirty browser tabs open [chuckle].	en/reply_en_trailing_chuckle_01.wav	258048	44100	5.851
reply_en_wrap_one_word_20	reply	en	wrap	whispers	The whole hall went quiet when the curator lifted the cloth, and someone behind me said [whispers] extraordinary, and that was the only word anyone managed for a good ten seconds.	en/reply_en_wrap_one_word_20.wav	485376	44100	11.006
reply_en_combined_softsad_20	reply	en	combined	soft,sad	[soft] [sad] I found his handwriting in the margin of the cookbook, just a note about using less salt. Such an ordinary thing to leave behind, and I couldn't put the book down for an hour.	en/reply_en_combined_softsad_20.wav	495616	44100	11.238
small_en_leading_excited_01_s2	small	en	leading	excited	[excited] We finally got the keys to our first house!	en/small_en_leading_excited_01_s2.wav	147456	44100	3.344
small_en_mid_disdainful_01_s2	small	en	mid	disdainful	He called it gourmet but [disdainful] it was a frozen burrito.	en/small_en_mid_disdainful_01_s2.wav	145408	44100	3.297
reply_en_multi_fearful_01_s2	reply	en	multi	fearful,surprised,happy	[fearful] The smoke alarm went off at midnight. [surprised] Turns out it was just the toaster. [happy] Crisis averted, breakfast saved.	en/reply_en_multi_fearful_01_s2.wav	319488	44100	7.245
reply_en_neutral_neutral_02	reply	en	neutral		To reset your password, open settings, choose security, and select change password.	en/reply_en_neutral_neutral_02.wav	288768	44100	6.548
chapter_en_arc_01_s2	chapter	en	per_sentence	happy,surprised,fearful,sighing	[happy] The morning of the village fair began like a painting, all yellow light and the smell of fresh bread drifting between the stalls. Children chased ribbons down the lane while old men argued cheerfully over the price of plums. [surprised] Then a shout rolled in from the river road, sharp and out of place, and every head turned at once. [fearful] Word spread that the old bridge had buckled under the weight of a loaded cart, and somewhere beneath the splintered timbers a child was crying. [sighing] For a long moment nobody moved, the whole fair holding its breath as the water churned brown and angry. [happy] Then the blacksmith waded in to his waist, lifted the boy free, and raised him dripping above the crowd, and the cheer that broke loose shook the apple carts. By dusk the fiddles were out again, and the fair felt less like a celebration and more like a thanksgiving.	en/chapter_en_arc_01_s2.wav	2248704	44100	50.991
reply_en_special_laugh_20	reply	en	special	laugh	So he stands up to give this very serious toast, taps the glass, clears his throat, and the entire bottom of the glass falls off onto the table [laugh] and he just carries on with the speech holding the stem.	en/reply_en_special_laugh_20.wav	628736	44100	14.257
small_en_trailing_sarcastic_01_s2	small	en	trailing	sarcastic	Sure, traffic at five on a Friday, what a treat [sarcastic].	en/small_en_trailing_sarcastic_01_s2.wav	129024	44100	2.926
reply_en_wrap_name_20	reply	en	wrap	soft	They read the list of names slowly, one after another, and when they reached [soft] Margaret, the man in the front row finally lowered his head.	en/reply_en_wrap_name_20.wav	364544	44100	8.266
reply_en_combined_fastexcited_20	reply	en	combined	fast,excited	[fast] [excited] Right, so the taxi's outside, the passports are in the blue bag, I've already checked us in, and if we leave in the next four minutes we make the early train instead of the late one.	en/reply_en_combined_fastexcited_20.wav	407552	44100	9.242
small_en_leading_angry_01_s2	small	en	leading	angry	[angry] You read my journal without even asking?	en/small_en_leading_angry_01_s2.wav	94208	44100	2.136
reply_en_mid_sarcastic_01_s2	reply	en	mid	sarcastic	I rebooted the router three times and checked every cable, and naturally [sarcastic] it started working the moment the technician called back.	en/reply_en_mid_sarcastic_01_s2.wav	307200	44100	6.966
chapter_en_arc_04_s2	chapter	en	multi	whispering,fearful,shouting,laughing	The lighthouse had been dark for forty years, and the four of us crept up its spiral stairs on a dare we already regretted. [whispering] Keep your voices down, I told them, as if the building itself were sleeping and we might wake it. The steps groaned underfoot and the salt wind found every crack in the walls. [fearful] Halfway up, a door slammed somewhere above us with no wind to explain it, and Tom grabbed my sleeve so hard he nearly pulled us both down the stairs. We froze, hearts hammering, listening to footsteps that might have been our own echo or might not. [shouting] Run, somebody yelled, and suddenly we were all yelling, tumbling down the spiral in a tangle of elbows and flashlights. [laughing] We spilled out onto the rocks gasping, and once we realized the slamming door had only been an old shutter, we laughed until we cried, the fear washing out of us with the tide.	en/chapter_en_arc_04_s2.wav	2365440	44100	53.638
chapter_en_arc_06	chapter	en	neutral		The library reading room occupies the eastern wing of the old courthouse, beneath a ceiling of pressed tin that has been painted over so many times the patterns have gone soft at the edges. Long oak tables run the length of the room, each fitted with a brass lamp and a worn leather inlay where generations of elbows have rested. Morning light enters through tall windows on the south wall, crossing the floor in slow rectangles that mark the hours better than any clock. The reference shelves line the north side, arranged by subject and then by date, with the oldest atlases kept in a locked case near the librarian's desk. Visitors are asked to sign the register at the entrance, to keep their voices low, and to return each volume to the reshelving cart rather than the stacks. In winter the radiators tick and hiss along the baseboards, and the room holds a warmth that makes the afternoons here particularly difficult to leave.	en/chapter_en_arc_06.wav	2582528	44100	58.561
chapter_en_arc_03_s2	chapter	en	per_sentence	sad,sighing,fearful,surprised,happy	[sad] When the factory closed, the whole town seemed to exhale and forget to breathe back in. The diner emptied, the church bell rang to fewer ears, and for-sale signs sprouted on lawns like a slow grey frost. [sighing] My father, who had given thirty years to that line, took to fixing radios in the garage just to keep his hands from going still. [fearful] Some nights I heard him doing the numbers at the kitchen table, the pencil pressing harder and harder, and I learned to walk softly past that doorway. [surprised] Then one spring a stranger bought the empty shell of the plant, not to tear it down but to fill it with workbenches, glassblowers, and the bright noise of people making things again. [happy] My father was the first man through the new doors, and when he came home that evening he was grinning like a boy, sawdust in his hair, talking faster than I had heard him talk in years.	en/chapter_en_arc_03_s2.wav	2369536	44100	53.731
reply_en_special_gasp_20	reply	en	special	gasp	She turned the last corner of the trail expecting more forest, and the whole valley opened up beneath her [gasp] with the lake catching the light all the way to the far ridge.	en/reply_en_special_gasp_20.wav	464896	44100	10.542
reply_en_trailing_sighing_01_s2	reply	en	trailing	sighing	I checked the flights again and prices went up another forty dollars overnight [sighing].	en/reply_en_trailing_sighing_01_s2.wav	227328	44100	5.155
reply_en_wrap_number_20	reply	en	wrap	surprised	I asked the mechanic for a rough estimate, bracing myself, and he looked at the engine for a moment and said [surprised] forty, which is not a number I was prepared for in either direction.	en/reply_en_wrap_number_20.wav	413696	44100	9.381
reply_en_combined_whisperfear_20	reply	en	combined	whispers,fearful	[whispers] [fearful] There's someone on the landing. I can hear the floorboard by the airing cupboard, the one that always goes. Don't turn the light on yet.	en/reply_en_combined_whisperfear_20.wav	333824	44100	7.570
reply_en_leading_happy_01_s2	reply	en	leading	happy	[happy] Of course I can help with that! Let's start by listing what you already have, and I'll fill in the rest.	en/reply_en_leading_happy_01_s2.wav	284672	44100	6.455
reply_en_mid_surprised_20	reply	en	mid	surprised	I opened the letter expecting another rejection, and [surprised] it was an acceptance with a full scholarship attached. I had to sit down on the stairs and read it twice before it registered.	en/reply_en_mid_surprised_20.wav	471040	44100	10.681
reply_en_multi_joy_grief_20	reply	en	multi	excited,sad,soft	[excited] The results came back clear, completely clear, and I actually shouted in the corridor. [sad] Then I remembered that Anna got her results the same week last year and hers weren't. [soft] So I sat in the car for a while before I drove home.	en/reply_en_multi_joy_grief_20.wav	692224	44100	15.697
reply_en_neutral_20	reply	en	neutral		The library moved its reference section to the second floor over the summer. The reading room stays open until eight on weekdays now, and the microfilm machines have been replaced with two scanning stations near the window.	en/reply_en_neutral_20.wav	563200	44100	12.771
reply_en_per_sentence_arc_20	reply	en	per_sentence	soft,surprised,excited	[soft] The envelope had been sitting behind the clock since March. [surprised] Inside was a photograph I'd never seen, of my mother at about nineteen, laughing at something off-camera. [excited] And on the back, in pencil, the name of the street where she met my father.	en/reply_en_per_sentence_arc_20.wav	634880	44100	14.396
reply_en_special_sigh_20	reply	en	special	sigh	I rewrote the whole chapter, restructured it, cut four thousand words [sigh] and my editor's only note was that the original opening had been better.	en/reply_en_special_sigh_20.wav	356352	44100	8.081
reply_en_trailing_sigh_20	reply	en	trailing	sigh	The train was cancelled, the replacement bus never came, and by the time I reached the office the meeting had already ended. So that was the entire morning, gone. [sigh]	en/reply_en_trailing_sigh_20.wav	438272	44100	9.938
reply_en_wrap_place_20	reply	en	wrap	excited	He kept saying the destination was a surprise right up until the departure board flipped over and showed [excited] Lisbon, and I made a noise in the middle of the terminal that I'm not proud of.	en/reply_en_wrap_place_20.wav	436224	44100	9.892
reply_en_combined_pitchhappy_20	reply	en	combined	pitch up,super happy	[pitch up] [super happy] They said yes! Not a maybe, not a we'll think about it, an actual unconditional yes, and they want us to start in September!	en/reply_en_combined_pitchhappy_20.wav	358400	44100	8.127
reply_en_leading_excited_20	reply	en	leading	excited	[excited] Okay, so I checked the tracking number three times this morning and it finally moved. It's out for delivery. After six weeks of waiting, the thing is actually going to be on my doorstep tonight.	en/reply_en_leading_excited_20.wav	452608	44100	10.263
reply_en_mid_excited_20	reply	en	mid	excited	We were halfway through the second set when the sound cut out completely, and then [excited] the entire crowd just picked up the chorus and carried it themselves. Two thousand people, no microphones.	en/reply_en_mid_excited_20.wav	438272	44100	9.938
reply_en_multi_anger_calm_20	reply	en	multi	angry,sigh,soft	[angry] I told them the deadline was immovable, I put it in writing, I said it in the meeting. [sigh] And of course it moved anyway. [soft] Honestly, at this point I've stopped expecting anything else.	en/reply_en_multi_anger_calm_20.wav	446464	44100	10.124
reply_en_neutral_21	reply	en	neutral		Add the flour a third at a time and fold it in rather than stirring. The batter should still look slightly uneven when you stop. Overworking it at this stage is what makes the finished cake dense.	en/reply_en_neutral_21.wav	532480	44100	12.074
reply_en_per_sentence_worry_20	reply	en	per_sentence	fearful,trembling voice,soft	[fearful] The call came at twenty past two in the morning. [trembling voice] I couldn't get the words out properly, I just kept asking which hospital. [soft] By the time I arrived he was already awake and complaining about the tea.	en/reply_en_per_sentence_worry_20.wav	499712	44100	11.331
reply_en_special_chuckle_20	reply	en	special	chuckle	My father spent the entire holiday insisting he didn't need a map, we were absolutely going the right way [chuckle] and we ended up in a completely different country than the one we'd booked.	en/reply_en_special_chuckle_20.wav	530432	44100	12.028
reply_en_trailing_laugh_20	reply	en	trailing	laugh	I spent forty minutes searching the house for my glasses, checked every room twice, went through the laundry basket, and then caught my reflection in the hallway mirror. They were on my head the whole time. [laugh]	en/reply_en_trailing_laugh_20.wav	499712	44100	11.331
reply_en_combined_softwhisper_30	reply	en	combined	soft,whisper in a small voice	[soft] [whisper in a small voice] He asked if the dog would still be there when he woke up, and I had to decide in about half a second what kind of answer that question deserved.	en/reply_en_combined_softwhisper_30.wav	370688	44100	8.406
reply_en_leading_sad_20	reply	en	leading	sad	[sad] I went back to the old apartment to pick up the last box. Someone had already repainted the kitchen. It's silly, but standing in that doorway I realized I'd never really said goodbye to the place.	en/reply_en_leading_sad_20.wav	497664	44100	11.285
reply_en_mid_sad_20	reply	en	mid	sad	He kept the shop open right through the winter, and [sad] on the last day he polished every surface before he turned the sign around. Forty-one years, and he wanted it to look right for whoever came next.	en/reply_en_mid_sad_20.wav	477184	44100	10.820
reply_en_multi_fear_relief_20	reply	en	multi	fearful,surprised,happy	[fearful] I couldn't find him anywhere in the park, not by the swings, not by the pond. [surprised] Then a woman tapped my shoulder and pointed at the bandstand. [happy] He was up there conducting an imaginary orchestra, perfectly happy, completely unaware.	en/reply_en_multi_fear_relief_20.wav	571392	44100	12.957
reply_en_neutral_22	reply	en	neutral		The northbound platform is closed for resurfacing until the end of the month. Services are departing from platform four instead, and the lift to the footbridge is out of service, so step-free access is via the side entrance on Mill Street.	en/reply_en_neutral_22.wav	643072	44100	14.582
reply_en_per_sentence_humour_20	reply	en	per_sentence	chuckle,sigh,laugh	[chuckle] I decided this year I'd assemble the furniture myself, how hard could it be. [sigh] Four hours later I had a wardrobe with the doors on the inside. [laugh] And two screws left over that I have chosen not to think about.	en/reply_en_per_sentence_humour_20.wav	593920	44100	13.468
reply_en_special_sniff_30	reply	en	special	breathing heavily	I ran the last kilometre far too fast because I could see the clock over the finish, and I crossed it with nine seconds to spare [breathing heavily] and then couldn't speak to anybody for about a minute.	en/reply_en_special_sniff_30.wav	483328	44100	10.960
reply_en_trailing_happy_20	reply	en	trailing	happy	She learned the whole piece by ear over one weekend, then played it at dinner without telling anyone she'd been practising. Her grandfather didn't say a word, he just sat there with his hand over his mouth. [happy]	en/reply_en_trailing_happy_20.wav	536576	44100	12.167
reply_en_leading_angry_20	reply	en	leading	angry	[angry] They cancelled the whole project in a two-line email. Eight months of work, four people, and not one of them thought a conversation was warranted. I'm not upset about the decision, I'm upset about the cowardice.	en/reply_en_leading_angry_20.wav	591872	44100	13.421
reply_en_mid_angry_20	reply	en	mid	angry	I asked for the report on Monday, I asked again on Wednesday, and [angry] this morning I find out it was finished the whole time and sitting in someone's drafts folder. That is not a scheduling problem.	en/reply_en_mid_angry_20.wav	423936	44100	9.613
reply_en_multi_tense_hopeful_20	reply	en	multi	trembling voice,soft,excited	[trembling voice] The engine wouldn't turn over, and we were forty kilometres from the nearest town. [soft] I sat on the bumper and tried to think it through calmly. [excited] And then a farmer came round the bend in a pickup with a set of jump leads on the passenger seat.	en/reply_en_multi_tense_hopeful_20.wav	622592	44100	14.118
chapter_en_arc_20	chapter	en	per_sentence	soft,fearful,trembling voice,surprised,happy	[soft] The lighthouse had been automated for eleven years, but the keeper's cottage still had its furniture, and every spring someone from the trust came out to check the roof and air the rooms. That year it was Ruth, because nobody else wanted the boat trip. [soft] She landed on a flat grey morning with the sea barely moving, unlocked the cottage, and opened the windows one by one to let the winter out. [fearful] It was on the second afternoon that she found the logbook, wedged behind a drawer that had swollen shut, and the last entry was dated three weeks after the light was supposed to have been left empty. [trembling voice] The handwriting was steady at the top of the page and much less steady by the bottom, and it described a night of weather that the mainland records insisted had never happened. [fearful] She read it twice, put it down, and became extremely aware of how far the boat was, and how the only other sound was the gulls. [surprised] Then she turned the page, and found a second hand entirely, neat and unhurried, explaining that the first writer had been her grandfather, that the storm had been real, and that the mainland had simply lost the record. [happy] Ruth sat on the cottage step with the book open on her knees until the light started to go, reading a man she had never met describing a sea she had crossed that morning, and she decided the roof could wait another day.	en/chapter_en_arc_20.wav	3545088	44100	80.387
reply_en_trailing_soft_20	reply	en	trailing	soft	We walked back along the harbour road with the boats knocking gently against the pontoons, and neither of us said anything for a long while. It didn't need saying. [soft]	en/reply_en_trailing_soft_20.wav	423936	44100	9.613
reply_en_leading_soft_20	reply	en	leading	soft	[soft] She fell asleep about ten minutes into the film, still holding the remote. I didn't want to wake her, so I just turned the volume down and let it play to the end.	en/reply_en_leading_soft_20.wav	438272	44100	9.938
reply_en_mid_gasp_20	reply	en	mid	gasp	He reached into the bottom of the toolbox for a spanner and [gasp] pulled out his grandfather's watch, the one the family had assumed was lost in the move thirty years ago.	en/reply_en_mid_gasp_20.wav	434176	44100	9.845
reply_en_multi_disbelief_20	reply	en	multi	surprised,laugh,happy	[surprised] They called my name and I genuinely thought there'd been a mistake. [laugh] I actually turned around to see if there was another Tom behind me. [happy] There wasn't. It was my name on the certificate and everything.	en/reply_en_multi_disbelief_20.wav	477184	44100	10.820
chapter_en_arc_21	chapter	en	per_sentence	excited,angry,sad,soft,happy	[excited] The bakery opened on a Tuesday with no sign above the door, because the sign had been delayed, and by nine in the morning there was a queue down to the corner anyway. [excited] Word had gone round the estate for a fortnight, and half the people in that queue had watched Dembe scrub the place out through the window every evening after his shift. [angry] The council inspector arrived at eleven and told him the extraction wasn't certified, that the paperwork he'd been promised in March had never been filed, and that he would have to close. [angry] Dembe pointed out, evenly, that he had rung the office six times, that he had a folder of dated letters, and that the queue outside was still growing while they stood there. [sad] It didn't matter. He turned the oven off at midday, went out to the pavement, and explained to about sixty people that there wouldn't be any bread after all. [soft] An older woman near the front said she would come back on Thursday, and then the man behind her said the same, and it went down the line like that until the street was quiet. [soft] He spent the afternoon sitting among the cooling trays with the folder open in front of him, writing a seventh letter, more carefully than the first six. [happy] The certificate came through on the Friday of the following week, and when he opened the door on the Saturday morning the queue was already there, and it was longer.	en/chapter_en_arc_21.wav	3471360	44100	78.716
reply_en_trailing_trembling_20	reply	en	trailing	trembling voice	I had the whole speech written out, I'd practised it in the car, and then I stood up and looked at all of them looking back at me and every single word went straight out of my head. [trembling voice]	en/reply_en_trailing_trembling_20.wav	471040	44100	10.681
reply_en_leading_fearful_20	reply	en	leading	fearful	[fearful] The lights went out on the whole street at once. No hum from the fridge, no streetlamps, nothing. And then I heard the back gate swing open, and I remembered I'd locked it.	en/reply_en_leading_fearful_20.wav	442368	44100	10.031
reply_en_mid_soft_20	reply	en	mid	soft	The nurse showed us how to hold him, with one hand under the head, and [soft] then everyone left the room and it was just the three of us for the first time.	en/reply_en_mid_soft_20.wav	364544	44100	8.266
chapter_en_arc_22	chapter	en	per_sentence	soft,sad,angry,trembling voice,happy	[soft] My grandmother kept every letter my grandfather sent her from sea, in order, in a biscuit tin that smelled faintly of ginger for the rest of its life. [soft] She read them in rotation, a few each winter, and she never once read them out loud to anybody. [sad] When she died the tin went to my aunt, and my aunt put it in a storage unit in Croydon along with the furniture, and then the storage unit was cleared. [angry] Nobody told us. The company sent a notice to an address my aunt had left four years earlier, waited the statutory period, and disposed of the contents entirely legally. [angry] I spent a week on the phone being told, politely and repeatedly, that everything had been done correctly, which was true, and which helped not at all. [trembling voice] What I could not get past was that the letters had survived two wars, nine house moves and a flood, and were lost to an unread envelope. [soft] Then in March my cousin found four of them in a book of hymns that had gone to a different relative, unread, tucked in flat against the back cover. [happy] Four out of what must have been two hundred. We photographed every page that same afternoon, uploaded them twice, and posted a printed set to everyone in the family who might conceivably want one.	en/chapter_en_arc_22.wav	3674112	44100	83.313
reply_en_trailing_surprised_30	reply	en	trailing	surprised	We booked the cheapest room in the place, right at the back, no view, no balcony. They upgraded us at check-in without saying anything, and I only worked it out when I opened the curtains. [surprised]	en/reply_en_trailing_surprised_30.wav	481280	44100	10.913
reply_en_leading_whispers_20	reply	en	leading	whispers	[whispers] Don't move yet. There's a deer at the edge of the clearing, just past the fallen birch, and she hasn't seen us. If we stay exactly where we are she might bring the fawn out.	en/reply_en_leading_whispers_20.wav	456704	44100	10.356
reply_en_mid_chuckle_30	reply	en	mid	chuckle	He insisted he'd fixed the tap himself, showed me the receipt for the parts, and [chuckle] the moment I turned it on the whole thing came away in my hand and hit the ceiling.	en/reply_en_mid_chuckle_30.wav	505856	44100	11.471
chapter_en_arc_23	chapter	en	per_sentence	fearful,fast,surprised,soft,laugh	[fearful] The fire alarm went off at four in the morning in a hotel where none of us spoke the local language and the corridor signage was, generously, ambiguous. [fast] I got the door open, got my brother out of the second bed, grabbed the passports off the desk because that is apparently what my hands decided mattered, and we went down eleven flights of stairs in bare feet. [fast] Half the building was already in the car park, wrapped in duvets, and nobody could find anyone official to ask. [surprised] After about twenty minutes a very calm member of staff came out and explained, in careful English, that a guest on the fourth floor had been smoking under a detector, and that there had never been a fire at any point. [soft] There was a long pause while four hundred people processed that. [soft] Then somebody near the back started laughing, and it spread across the car park in about ten seconds. [laugh] My brother looked down at what he was holding, which was the television remote, and could not explain to me or to himself why he had brought it.	en/chapter_en_arc_23.wav	2570240	44100	58.282
reply_en_leading_sarcastic_20	reply	en	leading	sarcastic	[sarcastic] Oh, brilliant timing. The heating breaks the same week the temperature drops, the plumber can't come until Thursday, and the emergency line plays me a recording about how much they value my custom.	en/reply_en_leading_sarcastic_20.wav	493568	44100	11.192
chapter_en_arc_24	chapter	en	per_sentence	soft,excited,angry,sad,happy	[soft] The village hall had been booked for the exhibition since January, one long room with bad lighting and a floor that had seen forty years of badminton. [excited] Priya had spent three months collecting the photographs, going door to door, borrowing albums from people who had never shown them to anybody outside the family. [excited] By the Friday there were two hundred and eleven prints on the walls, arranged by decade, and a table at the end for anyone who wanted to add a caption in pencil. [angry] On the Saturday morning the hall committee told her the fire officer had been in and the display boards were blocking a secondary exit, and that everything on the east wall would have to come down before opening. [angry] That was sixty photographs, the entire nineteen-seventies, and the people in them were arriving at eleven. [sad] She took them down herself, one at a time, and stacked them face up on the stage where nobody would see them. [soft] Then a man she didn't recognise asked what was in the pile, listened to the whole story, and went out to his van. [happy] He came back with eight folding easels from his sister's wedding business, and by five past eleven the entire nineteen-seventies were standing in the middle of the floor where people had to walk around them, which everyone agreed afterwards had been the better arrangement all along.	en/chapter_en_arc_24.wav	3377152	44100	76.579
reply_en_leading_fast_20	reply	en	leading	fast	[fast] Right, listen, the meeting moved to eleven, the slides still say last quarter's numbers, Priya's stuck on the ring road, and someone needs to tell the client before they dial in and see the wrong deck.	en/reply_en_leading_fast_20.wav	464896	44100	10.542
reply_en_leading_happy_30	reply	en	leading	happy	[happy] The allotment finally paid off this year. We came back from two weeks away expecting a jungle, and instead there were beans up the canes, the tomatoes had gone red on their own, and next door had watered everything without being asked.	en/reply_en_leading_happy_30.wav	624640	44100	14.164
small_de_combined_fast_01	small	de	combined	fast,excited	[fast] [excited] Komm schnell, du musst das sofort sehen!	de/small_de_combined_fast_01.wav	106496	44100	2.415
small_de_leading_excited_01	small	de	leading	excited	[excited] Wir haben die Wohnung bekommen!	de/small_de_leading_excited_01.wav	65536	44100	1.486
